Restaurants_Name,Rating,Num_of_ratings,Cuisines,Cost,address,links
Mahesh Bhandari Chicken Center,3.7,1K+ ratings,North Indian,₹ 200 for two person,17-a adajan char rasta shranjivi colony adajan surat,https://www.swiggy.com/restaurants/mahesh-bhandari-chicken-center-char-rasta-adajan-surat-131247
Dos And Donuts,--,Too Few Ratings,Desserts,₹ 200 for two person,"Amardeep Apartment, Amardeep Apartment Near Krishna Palace, New Bhatar Road, Udhana - Magdalla Rd, Bhatar Char Rasta, New City Light, Althan, Surat, Gujarat 395017, India",https://www.swiggy.com/restaurants/dos-and-donuts-new-bhatar-road-athwa-surat-638199
Zest House,3.5,50+ ratings,"North Indian, Punjabi",₹ 300 for two person,"5th floor , sahil enclave, next to cluster, Parle Point, Surat, Gujarat 395007",https://www.swiggy.com/restaurants/zest-house-piplod-athwa-surat-361308
Famous Frankie,3.8,5K+ ratings,"Street Food, Fast Food",₹ 200 for two person,"218 citylights shopping centre. citylights main road near science centre, Citylight surat",https://www.swiggy.com/restaurants/famous-frankie-parle-point-sargam-shopping-center-surat-77744
Surti Khaman House Adajan,4.2,10K+ ratings,Desserts,₹ 180 for two person,"E2, SMC Tenament, Opp Shree Ji arcade, Ananad Mahal Road, Surat",https://www.swiggy.com/restaurants/surti-khaman-house-adajan-opp-shreeji-arcade-adajan-surat-70750
Shree Sainath Fast Food- Ashok Bhai,4.3,1K+ ratings,"Burgers, Pizzas",₹ 200 for two person,"G-1 , citylight complex, opp axis bank, surat",https://www.swiggy.com/restaurants/shree-sainath-fast-food-ashok-bhai-city-light-ashok-bhai-citylight-surat-140399
Table Talk,4.2,10K+ ratings,"North Indian, Punjabi",₹ 200 for two person,"G 51-52 Navmanglam Complex Near Agra Sweets Citylight Town Citylight Road Surat 3950010, Surat, Gujarat 395007, India",https://www.swiggy.com/restaurants/table-talk-city-light-athwa-surat-65686
Chintu Jii Malai Chaap Wale,4.0,1K+ ratings,"Pastas, Chinese",₹ 300 for two person,"G86/ B Shreeji Arcade, Anand Mahal Road",https://www.swiggy.com/restaurants/chintu-jii-malai-chaap-wale-shreeji-arcade-surat-118652
Hajoori'S Kulfi,4.0,50+ ratings,Ice Cream,₹ 150 for two person,"Akshar Jyot Complex Opp Jalaram Hero  Near Bhulka Bhavan School Adajan , Surat 395009",https://www.swiggy.com/restaurants/hajooris-kulfi-adajan-surat-411595
Juice Factory,4.1,500+ ratings,"Ice Cream, Juices",₹ 200 for two person,"LG FLOOR, Shop No- 10, Megh mayur Plazza, Parle Point, Athwalines",https://www.swiggy.com/restaurants/juice-factory-lines-athwa-surat-94119
Grill Bar,4.4,50+ ratings,"Fast Food, Italian",₹ 250 for two person,PLOT NO 1 PAIKEE SHOP NO3 4 KRISHNA DIAMOND PARK KAPODRA  VARACHHA,https://www.swiggy.com/restaurants/grill-bar-varachha-kapodara-surat-502591
Hummus House,4.5,100+ ratings,"Lebanese, Italian",₹ 400 for two person,"LG 5/6/19, Megh Mayur Plaza,  Opp, Jani Farsan,  Parle Point,  Athwalines  Surat, Surat Municipal Corporation,  Gujarat-395007",https://www.swiggy.com/restaurants/hummus-house-piplod-parle-point-surat-524773
Shubhlaxmi,4.2,1K+ ratings,"Desserts, Chinese",₹ 300 for two person,"49-50-51, Laxmi Enclave, Near Gajera School, Katargam, Surat",https://www.swiggy.com/restaurants/shubhlaxmi-katargam-laxmi-enclave-laxmi-encleve-katargam-surat-100599
Thakkar'S- Hotel Jalaram Kathiyawadi,4.2,1K+ ratings,"Pastas, Desserts",₹ 200 for two person,"Singanpore Causeway Road, Nr. D-mart, Ved Road, Surat",https://www.swiggy.com/restaurants/thakkars-hotel-jalaram-kathiyawadi-nr-d-mart-singanpor-surat-121328
Hare krishna Thali,3.7,500+ ratings,"Pastas, North Indian",₹ 300 for two person,"86, Ground Floor, Shreeji Arcade, Anand Mahal Road, Adajan, Adajan Gam, Surat",https://www.swiggy.com/restaurants/hare-krishna-thali-shreeji-arcade-adajan-surat-176244
Coco Land,--,Too Few Ratings,Indian,₹ 200 for two person,"Amardeep Apartment, Amardeep Apartment Near Krishna Palace, New Bhatar Road, Udhana - Magdalla Rd, Bhatar Char Rasta, New City Light, Althan, Surat, Gujarat 395017, India",https://www.swiggy.com/restaurants/coco-land-new-bhatar-road-athwa-surat-636466
Lassi Adda,--,Too Few Ratings,Beverages,₹ 200 for two person,"Amardeep Apartment, Amardeep Apartment Near Krishna Palace, New Bhatar Road, Udhana - Magdalla Rd, Bhatar Char Rasta, New City Light, Althan, Surat, Gujarat 395017, India",https://www.swiggy.com/restaurants/lassi-adda-new-bhatar-road-athwa-surat-641117
Halwa Mahal,--,Too Few Ratings,"Ice Cream, Desserts",₹ 200 for two person,"Amardeep Apartment, Amardeep Apartment Near Krishna Palace, New Bhatar Road, Udhana - Magdalla Rd, Bhatar Char Rasta, New City Light, Althan, Surat, Gujarat 395017, India",https://www.swiggy.com/restaurants/halwa-mahal-new-bhatar-road-athwa-surat-637447
Shree Sainath Dosa,4.0,20+ ratings,"South Indian, Snacks",₹ 250 for two person,"shop no. 7/8,ground floor,laxmi enclave-2 opp. Vaheta school,katargam , surat. Pin- 395004",https://www.swiggy.com/restaurants/shree-sainath-dosa-katargam-varachha-surat-456519
Jani Locho & Khaman House,4.5,100+ ratings,"Gujarati, Snacks",₹ 150 for two person,"13-A, Plot No. 1, Shrungar Society,Parle Point Main Road,Parle Point, Surat",https://www.swiggy.com/restaurants/jani-locho-and-khaman-house-parle-point-parle-point-citylight-surat-380381
Subzi By Kilo,3.8,50+ ratings,"Pastas, North Indian",₹ 400 for two person,"G-86, Ground Floor, Shreeji Arcade, Anand Mahal Road, Adajan, Adajan Gam, Surat",https://www.swiggy.com/restaurants/subzi-by-kilo-adajan-surat-330282
Trishiv Cafe & Resto,3.9,50+ ratings,"Pastas, Chinese",₹ 400 for two person,"T P NO.4 F P NO.41 PAIKI HP COMPANY PETROL PUMP, OPP. MAHESHWARI BHAVAN, OPP. SCIENCE CENTER, CITYLIGHT ROAD, SURAT., Surat City, Surat Municipal Corporation, Gujarat-395007",https://www.swiggy.com/restaurants/trishiv-cafe-and-resto-piplod-citylight-surat-506294
Richie Rich Bakery & Eatery,--,Too Few Ratings,"Italian, Continental",₹ 500 for two person,"Shop no- 13, Ground Floor, Laxmi Enclave-2, opp. Gajera School, Rajanand Society, Ram Nagar Society, Katargam, Surat, Gujarat 395004, India",https://www.swiggy.com/restaurants/richie-rich-bakery-and-eatery-varachha-surat-447249
The Foodiez Point,3.7,1K+ ratings,"Chinese, Singaporean",₹ 200 for two person,"shop-G39,silver sprig apartment opposite shree ram petrol pump, Anand mahal road, adajan.",https://www.swiggy.com/restaurants/the-foodiez-point-opp-gail-tower-adajan-surat-106049
Coffee Culture,3.6,100+ ratings,"American, Italian",₹ 350 for two person,"SHOP NO.29,30,31,GR.FL.,LAXMI ENCLAVE-2,OPP.GAJERA SCHOOL,KATARGAM,SURAT., Surat City, Surat Municipal Corporation, Gujarat",https://www.swiggy.com/restaurants/coffee-culture-gajera-school-katargam-surat-98463
BATRA's LEMON CHICKEN,4.4,500+ ratings,North Indian,₹ 400 for two person,"PLOT NO 36-42, AMUL SOC, NEAR SHRI RAM MARBAL ,B/H KAPADIYA WADI, ALTHAN 3950017",https://www.swiggy.com/restaurants/batras-lemon-chicken-athwa-althan-surat-537005
Shree Navdurga Sandwiches,4.1,1K+ ratings,"Fast Food, Snacks",₹ 250 for two person,"47, Laxmi Enclave, Near Gajera school, Katargam, Surat",https://www.swiggy.com/restaurants/shree-navdurga-sandwiches-laxmi-enclave-vishal-nagar-surat-75467
Sugar coated love cake shop ,4.6,20+ ratings,Bakery,₹ 200 for two person,"Shop no. 4, Ground floor, Citylight complex, opp. devdarshan appartment, Citylight Road, Surat- 395007",https://www.swiggy.com/restaurants/sugar-coated-love-cake-shop-opp-devdarshan-appartment-piplod-surat-523484
Shree Nath Ji Dosa & Fastfoods,--,Too Few Ratings,"Snacks, Chinese",₹ 360 for two person,"395004, Magan Nagar Rd, Magan Nagar, Mani Nagar, Magar Nagar, Katargam, Surat, Gujarat 395004, India",https://www.swiggy.com/restaurants/shree-nath-ji-dosa-and-fastfoods-magan-nagar-rd-varachha-surat-662365
Bapa Sitaram Dry Fruits Chikki,--,Too Few Ratings,Snacks,₹ 300 for two person,32 PLOT  5556 GRFL SHOP2 AMRUT FLATS NEW TRIVENI SOCIETY OPP TARAN KUND SINGAPORE RD SURAT 395004,https://www.swiggy.com/restaurants/bapa-sitaram-dry-fruits-chikki-katargam-adajan-surat-380596
Jalaram Locho & Khaman - Bamba Gate,4.0,1K+ ratings,"Desserts, North Indian",₹ 100 for two person,"SHED NO.2, R.K INDUSTRIAL ESTATE, OPP.SIDDKUTIR, KAPODARA, BAMBA GATE, VARACHHA,SURAT",https://www.swiggy.com/restaurants/jalaram-locho-and-khaman-bamba-gate-kapodara-kapodra-patiya-surat-175323
Mr. Dhokla,4.1,5K+ ratings,Gujarati,₹ 150 for two person,"D-3, Pramukh Darshan Appartments, Chhatrapati Shivaji Circle, Adajan Gam, Surat",https://www.swiggy.com/restaurants/mr-dhokla-pramukh-darshan-apt-adajan-surat-66157
Jani Farsan House,--,Too Few Ratings,"Gujarati, Snacks",₹ 150 for two person,"A1 SHRUNAGAR SOC, PARLE POINT, ATHWALINES SURAT",https://www.swiggy.com/restaurants/jani-farsan-house-shrunagar-piplod-surat-654975
Ganesh Vadapav & Fast Food,4.0,1K+ ratings,"Fast Food, Snacks",₹ 100 for two person,"L18, Golden Park Apartment, Opp, Prime Arcade, Adajan",https://www.swiggy.com/restaurants/ganesh-vadapav-and-fast-food-opp-prime-arcade-narotam-nagar-surat-85715
LOTPOT by Urban Punjab,--,Too Few Ratings,"North Indian, Punjabi",₹ 300 for two person,"G-85, SHREEJI ARCADE, ANAND MAHEL ROAD, ADAJAN",https://www.swiggy.com/restaurants/lotpot-by-urban-punjab-adajan-surat-330281
Tanatan Punjabi And Chinese Parcel,--,Too Few Ratings,"North Indian, Chinese",₹ 300 for two person,"PLOT No:31, Shri Satyam Sundaram Society, Navo Mohallo, Singanpor, Surat, Gujarat",https://www.swiggy.com/restaurants/tanatan-punjabi-and-chinese-parcel-singanpor-varachha-surat-592197
Zoop cafe,--,Too Few Ratings,"Cafe, Fast Food",₹ 100 for two person,"Anand Mahal Rd, Opp. Mahan Terrace, Khodiyar Nagar, Muktanand Nagar, Narotam Nagar, Surat, Gujarat 395009, India",https://www.swiggy.com/restaurants/zoop-cafe-khodiyar-nagar-adajan-surat-621012
Pureilo Fusion Restro,--,Too Few Ratings,"Chaat, Italian",₹ 400 for two person,"G.F.- SHOP NO.36, LAXMI ENCLAV-2, KATARGAM, , Katargam , Surat City, Surat Municipal Corporation, Gujarat",https://www.swiggy.com/restaurants/pureilo-fusion-restro-katargam-varachha-surat-568416
99 Pancakes,4.4,1K+ ratings,"Desserts, Beverages",₹ 400 for two person,"G-5, Aqua Corridor, Near Star Bazaar, Adajan Patiya, Surat",https://www.swiggy.com/restaurants/99-pancakes-nr-star-bazar-adajan-surat-93153
Wok On Fire,4.3,1K+ ratings,"Chinese, Thai",₹ 400 for two person,"G 6, Riddhi Shoppers, Opposite Star Bazaar, Pal Adajan Road, Adajan, Surat, Adajan Gam, Surat",https://www.swiggy.com/restaurants/wok-on-fire-gam-adajan-surat-66086
Shivam Fast Food Corner,--,Too Few Ratings,"Burgers, Ice Cream",₹ 250 for two person,"MUNICIPAL TERNAMENT SURVEY NO.68 PLOT NO.3,ATHAVALIN,ALTHAN,SURAT CITY,SURAT MUNICIPAL CORPORATION,GUJARAT-395001",https://www.swiggy.com/restaurants/shivam-fast-food-corner-athwa-althan-surat-571336
MBA CHAI WALA,4.1,50+ ratings,"Beverages, Fast Food",₹ 100 for two person,"SHOP No: 01, LOWER GROUND FLOOR,  INDRAPRASTH APARTMENT - D TOWER,  NEAR MAHESHWARI BHAVAN, CITYLIGHT,  SURAT, Umra , Surat Municipal  Corporation, Surat Municipal Corporation,  Gujarat - 395007",https://www.swiggy.com/restaurants/mba-chai-wala-piplod-surat-537150
Breadoze Fast Food,--,Too Few Ratings,Indian,₹ 300 for two person,"shop no 17 NR ROYAL RESIDENCY OPP MAHALAXMI TEMPLE ADAJAN, Adajan Dn , Surat- 395009",https://www.swiggy.com/restaurants/breadoze-fast-food-adajan-surat-392431
Cake Bakebon- Live Cake,4.0,500+ ratings,Desserts,₹ 400 for two person,"51, DEVDIP SOCIETY, SARAGAM SHOPPING CENTER PARLE POINT, DUMAH ROAD, SURAT",https://www.swiggy.com/restaurants/cake-bakebon-live-cake-parle-point-athwa-surat-140406
Cake Bonzer Bites,4.3,1K+ ratings,Desserts,₹ 300 for two person,"51, DEVDIP SOCIETY, SARAGAM SHOPPING CENTER PARLE POINT, DUMAH ROAD, SURAT",https://www.swiggy.com/restaurants/cake-bonzer-bites-parle-point-athwa-surat-127595
BK Cafe,--,Too Few Ratings,"American, Cafe",₹ 350 for two person,"Shop No 56, 58B, 59B, 60 & 61 Ground Floor, Laxmi Enclave 2, Opp Gajera School, Katargram, Surat, Gujarat 395004",https://www.swiggy.com/restaurants/bk-cafe-laxmi-enclave-2-katargram-surat-653054
Jay Gopinath Khaman And Locho,4.1,1K+ ratings,Gujarati,₹ 100 for two person,"Plot No-36/A, B1-B2, Ganesh Bunglows, Harianth Appartment, Hotel Gateway, Surat",https://www.swiggy.com/restaurants/jay-gopinath-khaman-and-locho-parle-point-athwa-surat-140439
Baba Omlet Center,4.0,1K+ ratings,"Fast Food, Snacks",₹ 200 for two person,"Shop 7, Alishan Enclave, Opposite Star Bazar, Adajan, Adajan Patiya, Surat",https://www.swiggy.com/restaurants/baba-omlet-center-pal-road-adajan-surat-118885
Om Kutchi Danawali Dabeli,3.1,100+ ratings,Snacks,₹ 100 for two person,"Nr.IMPIRIAL Square, Hajira road , adajan",https://www.swiggy.com/restaurants/om-kutchi-danawali-dabeli-nr-star-bazar-star-bazar-adajan-surat-112301
Level 5 Terrace Resturant,4.2,100+ ratings,"Punjabi, North Indian",₹ 600 for two person,"5th Floor, Royal Trade Centre, Opposite Star Bazaar, Adajan, Adajan Gam, Surat",https://www.swiggy.com/restaurants/level-5-terrace-resturant-opp-star-bazaar-adajan-surat-71359
Bakers Bunch,4.5,100+ ratings,"Burgers, Pizzas",₹ 200 for two person,"B-2, Krutika Society, Near. Maheshwari Departmental Store, Surat",https://www.swiggy.com/restaurants/bakers-bunch-piplod-citylight-surat-441890
Lets Whisk,4.6,20+ ratings,Bakery,₹ 300 for two person,"A-17, AAGAM ROW HOUSE, Panas Gam, City Light Town, Athwa, Surat, Gujarat 395007, India",https://www.swiggy.com/restaurants/lets-whisk-piplod-surat-463387
Rasraj Katchi Dabeli,3.8,20+ ratings,Snacks,₹ 100 for two person,"Shop L-11, C 2, Golden Park Apartment, Anand Mahal Road, Opposite Prime Arcade, Adajan Gam, Surat",https://www.swiggy.com/restaurants/rasraj-katchi-dabeli-adajan-surat-445838
Hot Bite Katargam,3.8,1K+ ratings,"Pizzas, Chinese",₹ 300 for two person,"55, Silver Stone Arcade, Near D-Mart, Causeway Road, Katargam, Surat",https://www.swiggy.com/restaurants/hot-bite-katargam-silver-stone-nr-d-mart-singanpor-surat-75462
Sainath Alupuri & Khawsa,4.3,1K+ ratings,"Gujarati, Snacks",₹ 200 for two person,opp 79 squre sahaj super Store honey park road adajan,https://www.swiggy.com/restaurants/sainath-alupuri-and-khawsa-anand-mahal-road-sima-nagar-surat-153042
IContrast Ice Cream - Depot,4.1,1K+ ratings,"Desserts, Ice Cream",₹ 200 for two person,"G1, B/1, Eon Square, Opposite Gurukrupa Society, LP Savani, Adajan Patiya, Surat",https://www.swiggy.com/restaurants/icontrast-ice-cream-depot-lp-savani-road-adajan-surat-131255
Mahalaxmi Foods,--,Too Few Ratings,"Fast Food, Burgers",₹ 250 for two person,"Shop No. 9, Aalishan Enclave, Opp. Star Bazar, Adajan, Surat, Adajan Dn , Surat City, Surat Municipal Corporation, Gujarat-395001",https://www.swiggy.com/restaurants/mahalaxmi-foods-aalishan-enclave-adajan-surat-592119
Coffee King,4.1,100+ ratings,"Pastas, Burgers",₹ 300 for two person,"SHOP NO. 102, FIRST FLOOR, SUNDAY HUB, BESIDE ANKUR SCHOOL, AAMBA TALAWADI, KATARGAM, SURAT,395004",https://www.swiggy.com/restaurants/coffee-king-katargam-varachha-surat-411646
Surtea,4.6,1K+ ratings,Fast Food,₹ 200 for two person,"Anmol Complex, Surat Dumas Road, Piplod, Surat",https://www.swiggy.com/restaurants/surtea-anmol-complex-lines-athwa-surat-66083
Greenees Fast Food,3.6,20+ ratings,"South Indian, Burgers",₹ 200 for two person,"G-23, Shree Nilkanth Business Hub, Opp. D-Mart, Nr. Causeway, Singanpore road, Singanpore, Surat-395004",https://www.swiggy.com/restaurants/greenees-fast-food-varachha-causeway-surat-523546
Maa Cold Coco & Fruit Salad,4.4,50+ ratings,"Beverages, Juices",₹ 300 for two person,"GR.FL.SHOP NO. G-44,FP. NO.49, SHREE NILKANTH BUSINESS HUB, SINGANPORE CAUSEWAY ROAD, KATARGAM,SURAT.-395004",https://www.swiggy.com/restaurants/maa-cold-coco-and-fruit-salad-varachha-surat-587987
Barbeque Nation,3.7,1K+ ratings,"North Indian, Barbecue",₹ 600 for two person,"101, 1st Floor, Golden Square, Surat - Dumas Rd, near Sargam Shopping Center, Parle Point, Athwa, Surat, Gujarat 395007",https://www.swiggy.com/restaurants/barbeque-nation-golden-square-athwa-surat-300372
Gazi Caterers,4.1,100+ ratings,Biryani,₹ 300 for two person,"PLOT NO 124, GF SHREE RANG AVADHUT SOC.3, NR RAMNAGAR, ADAJAN SURAT 395009",https://www.swiggy.com/restaurants/gazi-caterers-ramnagar-adajan-surat-438817
Everything@99,4.0,100+ ratings,"Pizzas, Chinese",₹ 200 for two person,"107 eon square next shell petrol pump l l psavani road , Adajan Dn , Surat City, SuratMunicipal Corporation, Gujarat-395009",https://www.swiggy.com/restaurants/everything-99-l-p-sawani-road-adajan-surat-497013
Gita'S Fast Food,3.2,50+ ratings,"Pizzas, Burgers",₹ 100 for two person,"A-3/1 .AMARDEEP COMPLEX, Surat City , Surat City, Surat Municipal Corporation, Gujarat - 394107",https://www.swiggy.com/restaurants/gitas-fast-food-sarthana-varachha-surat-581914
Shreeji Natural  Flavors,--,Too Few Ratings,"Gujarati, Indian",₹ 200 for two person,"D 401 NEW SUN CITY APPARTMENT, ,  Rander , Surat Municipal Corporation,  Surat Municipal Corporation, Gujarat -  395009",https://www.swiggy.com/restaurants/shreeji-natural-flavors-katargam-adajan-surat-500948
Shree Swaminarayan Chhapaiyavala Bekary & Namkeen,--,Too Few Ratings,"Snacks, Indian",₹ 250 for two person,"SHOP NO 2 GR FLOOR,DHRUV PALACE,SHREE RAM COLONY,DABHOLI ROAD, Dabholi , Surat - 395004",https://www.swiggy.com/restaurants/shree-swaminarayan-chhapaiyavala-bekary-and-namkeen-varachha-surat-558076
Hajoori's Frootreet,--,Too Few Ratings,Ice Cream,₹ 150 for two person,"Ground Floor, Shop No. 68, Silver Stone Arcade Beside Lapinoz Pizza, Ved Road, Village, near DMart, Singanpore, Surat, Gujarat 395004",https://www.swiggy.com/restaurants/hajooris-frootreet-sarthana-d-mart-surat-601034
Cafe Beats Restaurant,--,Too Few Ratings,"Beverages, Pizzas",₹ 300 for two person,"SHOP NO. 57, SILVER STONE ARCADE, NR. KANTHERIA HANUMAN TEMPLE, SINGANPOR, KATARGAM, Surat City, Surat Municipal Corporation, Gujarat, 395004",https://www.swiggy.com/restaurants/cafe-beats-restaurant-varachha-katargam-surat-570217
Smittensmit Foods,--,Too Few Ratings,Chinese,₹ 100 for two person,"4, GopalKrushna Society, Near Arihant Park, Parle Point, Surat, Gujarat 395007, India",https://www.swiggy.com/restaurants/smittensmit-foods-parle-point-athwa-surat-475873
Sizzling Pizza by Sizzling Culture,3.8,500+ ratings,"Pizzas, Chinese",₹ 300 for two person,"107,108 EON Square, Next to Shell Petrol Pump, LP Savani Road, Adajan",https://www.swiggy.com/restaurants/sizzling-pizza-by-sizzling-culture-eon-square-adajan-surat-257785
Arun Ice Creams,--,Too Few Ratings,Ice Cream,₹ 150 for two person,"BLOCK NO-4, RADHE NAGAR, OPP. NEHRU  NAGAR, B/S. MALHAR COMPLEX,  ICHCHHANATH,, Surat Municipal Corporation,  Gujarat-395007",https://www.swiggy.com/restaurants/arun-ice-creams-nehru-nagar-piplod-surat-620491
Sainath Omelette,4.2,20+ ratings,North Indian,₹ 150 for two person,"Soham Circle, Althan Canal Road, Althan Bhatar, Surat",https://www.swiggy.com/restaurants/sainath-omelette-althan-surat-219586
King Sandwich,--,Too Few Ratings,"Fast Food, Salads",₹ 300 for two person,"PLOT NO-49, SHOP NO-G/43, GR FLOOR, SHREE NILKANTH BUSINESS HUB, OPP. D-MART, SINGANPORE,Katargam , Surat-- 395004",https://www.swiggy.com/restaurants/king-sandwich-varachha-surat-484042
Sizzling Culture,3.7,5K+ ratings,"Chinese, Pizzas",₹ 300 for two person,"107,108 EON Square, Next to Shell Petrol Pump, LP Savani Road, Adajan",https://www.swiggy.com/restaurants/sizzling-culture-eon-square-surat-68990
Den'S Pizza,4.0,100+ ratings,"Chinese, Ice Cream",₹ 500 for two person,"UG - 5/6, Valentina Business Hub, LP Savani Rd, near Shell Petrol Pump, Guru Ram Pavan Bhumi, Adajan Gam, Adajan, Surat, Gujarat 395009, India",https://www.swiggy.com/restaurants/dens-pizza-l-p-sawani-road-adajan-surat-390201
Foodies Foodz,--,Too Few Ratings,"Chinese, Snacks",₹ 300 for two person,"79, Ravi Nagar, Ishwar Nagar, Kailash Nagar Chowkdi Bus Stop , Bamroli , Chorasi, Surat",https://www.swiggy.com/restaurants/foodies-foodz-piplod-surat-557898
Uncle Momo,3.4,500+ ratings,Fast Food,₹ 150 for two person,"203, Chitrakut Apartment, City Light, Surat",https://www.swiggy.com/restaurants/uncle-momo-um-road-vesu-city-light-surat-129549
Chinese Culture By Sizzling Culture,3.3,1K+ ratings,"Chinese, Burgers",₹ 300 for two person,"107,108 EON Square, Next to Shell Petrol Pump, LP Savani Road, Adajan",https://www.swiggy.com/restaurants/chinese-culture-by-sizzling-culture-eon-square-adajan-surat-257286
The Garlic Knot Pizza Cafe,4.7,50+ ratings,"Pizzas, Beverages",₹ 250 for two person,"SHOP NO.G-4/5, EON SQUARE, BESIDE SHELL PETROL PUMP, OPP.GURUKRUPA SOCIETY, L P SAWANI ROAD, ADAJAN,SURAT 395009",https://www.swiggy.com/restaurants/the-garlic-knot-pizza-cafe-gam-adajan-surat-362930
Richie Rich Juices & Shakes,3.9,500+ ratings,Ice Cream,₹ 250 for two person,"Richie Rich Building , Opposite Golden Square Complex, Parle Point, Athwa, Surat",https://www.swiggy.com/restaurants/richie-rich-juices-and-shakes-parle-point-athwa-surat-81094
Br Pizza,3.6,500+ ratings,"Burgers, Pizzas",₹ 250 for two person,"2 BR PIZZA BHAVANI FOOD DHOBINA KHACHA B/H STAR BAZAR LPSAVANI RODE ADAJAN, Adajan Dn , Surat City, Surat Municipal Corporation, Gujarat - 395009",https://www.swiggy.com/restaurants/br-pizza-anand-mahal-road-prime-market-surat-95394
Hot Cups Kafe,--,Too Few Ratings,"Chinese, Pizzas",₹ 100 for two person,"G-19,ksb olympia,kailash chowkdi,bamroli,surat,gujrat",https://www.swiggy.com/restaurants/hot-cups-kafe-piplod-surat-454811
Rasna Buzz,3.8,50+ ratings,Beverages,₹ 300 for two person,"ANUVRAT DWAR, OM KRISHNA PETROLEUM, UDHNA MAGDALLA ROAD, CITY LIGHT, District - Surat Municipal Corporation, STATE - Gujarat - 395007",https://www.swiggy.com/restaurants/rasna-buzz-new-city-light-piplod-athwa-surat-280451
Pizza Village,3.8,1K+ ratings,"Pizzas, Fast Food",₹ 300 for two person,"107,108 EON Square, Next to Shell Petrol Pump, LP Savani Road, Adajan",https://www.swiggy.com/restaurants/pizza-village-eon-square-adajan-surat-147225
The Second Wife,--,Too Few Ratings,"Pizzas, Burgers",₹ 300 for two person,"SHOP NO G-18, GROUND FLOOR, KSB OLYMPIA BAMROLI SURAT-394210",https://www.swiggy.com/restaurants/the-second-wife-ksb-olympia-bamroli-piplod-surat-665151
Creamolato,--,Too Few Ratings,Fast Food,₹ 300 for two person,"SHOP NO. L G-25, GOLDEN PARK, OPP. PRIME ARCADE, ANAND MAHAL ROAD, ADAJAN, SURAT. , Surat",https://www.swiggy.com/restaurants/creamolato-adajan-surat-494115
UBQ by Barbeque Nation,3.8,5K+ ratings,"North Indian, Barbecue",₹ 300 for two person,"1st Floor, Golden Square, Parle Point Flyover, near Sargam Shopping Center, Athwa, Surat, Gujarat 395007",https://www.swiggy.com/restaurants/ubq-by-barbeque-nation-golden-square-athwa-surat-105266
The Cone Chaat,3.8,20+ ratings,Chaat,₹ 150 for two person,"B-U Besides Greenpark Society, Anand Mahal Road, Opp Prime Arcade, Adajan Surat, Gujarat",https://www.swiggy.com/restaurants/the-cone-chaat-adajan-palanpur-patia-surat-310907
Go China,4.2,1K+ ratings,"Pastas, Chinese",₹ 300 for two person,"G4, Proton Plus, LP Savani Road, Adajan Gam, Surat",https://www.swiggy.com/restaurants/go-china-adajan-gam-surat-64629
D Royal Restaurant,--,Too Few Ratings,"Tandoor, Indian",₹ 300 for two person,"134,pavillion plaza,Near Mark point,Dindoli-karadwa road,dindoli,udhna,surat",https://www.swiggy.com/restaurants/d-royal-restaurant-karadwa-road-dindoli-surat-648434
7 Star Corner,--,Too Few Ratings,"Snacks, Fast Food",₹ 200 for two person,"Shop no 6 A-B, G.F ELEPHANTA BUSINESS HUB OPP HARI DARSHAN SOC SINGANPORE, DABHOLI KATARGAM 395004",https://www.swiggy.com/restaurants/7-star-corner-varachha-surat-526947
Pizza'hoy Western Style Pizza,--,Too Few Ratings,"Pizzas, Pastas",₹ 150 for two person,"Beside cell petrol pump, ground floor shop no G1, EON square lp savani road, adajan 395009",https://www.swiggy.com/restaurants/pizzahoy-western-style-pizza-eon-square-lp-savani-road-adajan-surat-626992
Crazzy Food,--,Too Few Ratings,"North Indian, Chinese",₹ 400 for two person,"17 JUNE 2022  ADDERESS : SHOP NO.2,BHAVANI FOOD CORNER DHOBI NO KHACHO,B/H STAR BAZAR,L.P.SAVANI ROAD,BEHIND STAR BAZAAR,ADAJAN, Surat",https://www.swiggy.com/restaurants/crazzy-food-adajan-surat-575818
Shashwat Gujarati Foods,3.8,50+ ratings,"Gujarati, Indian",₹ 300 for two person,"Near Gopalakrishna Society, Near Arihant Park, Parle Point, Surat, 395007, Athwa , Surat Municipal Corporation, Surat Municipal Corporation, Gujarat - 395007",https://www.swiggy.com/restaurants/shashwat-gujarati-foods-parle-point-piplod-surat-501984
Namaskara,--,Too Few Ratings,South Indian,₹ 200 for two person,"SHOP NO.1, G.F., SURYODAY COMPLEX ""A"" WING, NR.KARANPARK, NEW GUJARAT GAS ROAD, ADAJAN, Surat City, Surat Municipal Corporation, , Gujarat, 395009",https://www.swiggy.com/restaurants/namaskara-municipal-corporation-adajan-surat-653699
Abu Al-Baik,3.9,50+ ratings,"Snacks, Pizzas",₹ 350 for two person,Shop no 6 Gulzar Apt Rander Co Operative H Soc  Surat   395009,https://www.swiggy.com/restaurants/abu-al-baik-adajan-rander-surat-548450
Laheri Snacks,3.6,100+ ratings,"Fast Food, Snacks",₹ 350 for two person,"484,485, Hari darshan society, opp. sargam residency, singanpore, surat",https://www.swiggy.com/restaurants/laheri-snacks-singanpore-katargam-surat-107124
